Owner,Repository,Stars,Created At,Last Updated,Primary Language,Releases,Open Issues,Closed Issues,Closed Issues Ratio,Merged Pull Requests
RocketChat,Rocket.Chat,43289,2015-05-19T07:36:09Z,2025-08-29T13:25:35Z,TypeScript,1000,2578,13779,0.84,14512
FlowiseAI,Flowise,43112,2023-03-31T12:23:09Z,2025-08-29T13:54:36Z,TypeScript,73,635,1629,0.72,1329
pyenv,pyenv,43014,2012-08-31T06:57:52Z,2025-08-29T14:08:25Z,Roff,132,54,1807,0.97,976
GitSquared,edex-ui,43009,2017-01-28T09:35:02Z,2025-08-29T14:01:32Z,JavaScript,29,6,553,0.99,399
jellyfin,jellyfin,42993,2018-12-09T06:36:45Z,2025-08-29T13:54:04Z,C#,91,400,6889,0.95,4826
sudheerj,reactjs-interview-questions,42877,2018-05-31T17:17:01Z,2025-08-29T12:39:47Z,JavaScript,0,3,107,0.97,162
ggml-org,whisper.cpp,42799,2022-09-25T18:26:37Z,2025-08-29T13:30:38Z,C++,27,920,834,0.48,865
expo,expo,42747,2016-08-15T17:14:25Z,2025-08-29T14:09:12Z,TypeScript,0,417,16614,0.98,18015
opendatalab,MinerU,42726,2024-02-29T08:52:34Z,2025-08-29T14:03:11Z,Python,121,135,1558,0.92,1034
coreybutler,nvm-windows,42591,2014-09-20T16:37:28Z,2025-08-29T13:26:28Z,Go,23,77,850,0.92,107
ClickHouse,ClickHouse,42577,2016-06-02T08:28:18Z,2025-08-29T12:39:53Z,C++,675,4497,20602,0.82,50651
GokuMohandas,Made-With-ML,42522,2018-11-05T03:44:27Z,2025-08-29T14:17:24Z,Jupyter Notebook,0,16,58,0.78,147
Unitech,pm2,42496,2013-05-21T03:25:25Z,2025-08-29T12:23:55Z,JavaScript,128,1005,4078,0.80,553
k88hudson,git-flight-rules,42433,2014-07-22T20:35:09Z,2025-08-29T10:30:41Z,Unknown,0,18,55,0.75,225
coqui-ai,TTS,42318,2020-05-20T15:45:28Z,2025-08-29T14:03:14Z,Python,98,6,1185,0.99,465
alex,what-happens-when,42230,2013-11-07T04:30:06Z,2025-08-29T14:05:40Z,Unknown,0,239,54,0.18,108
Alamofire,Alamofire,42066,2014-07-31T05:56:19Z,2025-08-29T08:33:26Z,Swift,102,42,2759,0.99,650
astral-sh,ruff,42062,2022-08-09T17:17:44Z,2025-08-29T14:02:05Z,Rust,377,1522,5636,0.79,11261
faif,python-patterns,42002,2012-06-06T21:02:35Z,2025-08-29T13:57:40Z,Python,0,11,83,0.88,273
Light-City,CPlusPlusThings,41898,2019-07-14T08:45:45Z,2025-08-29T14:15:50Z,C++,0,10,218,0.96,72
1c7,chinese-independent-developer,41857,2017-09-21T11:08:23Z,2025-08-29T14:16:18Z,Unknown,0,3,201,0.99,316
getsentry,sentry,41844,2010-08-30T22:06:41Z,2025-08-29T14:19:29Z,Python,154,2112,13660,0.87,73068
tw93,Pake,41813,2022-10-14T09:32:57Z,2025-08-29T13:55:08Z,JavaScript,32,20,385,0.95,101
apache,spark,41781,2014-02-25T08:00:08Z,2025-08-29T14:07:03Z,Scala,0,0,0,0.00,8
apache,airflow,41779,2015-04-13T18:04:58Z,2025-08-29T13:55:54Z,Python,103,1296,11207,0.90,29490
iina,iina,41703,2016-12-19T07:18:45Z,2025-08-29T11:07:05Z,Swift,45,1762,2428,0.58,851
freqtrade,freqtrade,41690,2017-05-17T23:48:53Z,2025-08-29T14:19:17Z,Python,100,33,5309,0.99,5913
spf13,cobra,41673,2013-09-03T20:40:26Z,2025-08-29T14:17:36Z,Go,24,227,986,0.81,614
NaiboWang,EasySpider,41665,2020-07-18T02:41:27Z,2025-08-29T12:17:27Z,JavaScript,10,230,485,0.68,40
Stability-AI,stablediffusion,41635,2022-11-23T23:59:50Z,2025-08-29T12:27:15Z,Python,0,248,76,0.23,17
Kong,kong,41635,2014-11-17T23:56:08Z,2025-08-29T11:19:17Z,Lua,145,64,4496,0.99,6481
yarnpkg,yarn,41561,2016-01-19T17:39:16Z,2025-08-29T13:07:29Z,JavaScript,152,1875,4732,0.72,1654
GitHubDaily,GitHubDaily,41499,2018-12-30T13:56:58Z,2025-08-29T14:18:25Z,Unknown,0,409,176,0.30,3
tldraw,tldraw,41485,2021-05-09T11:48:37Z,2025-08-29T14:18:25Z,TypeScript,83,230,1522,0.87,3581
mingrammer,diagrams,41389,2020-02-02T15:23:24Z,2025-08-29T12:37:42Z,Python,44,311,222,0.42,333
nolimits4web,swiper,41357,2012-03-14T19:11:45Z,2025-08-29T09:02:35Z,JavaScript,87,215,5538,0.96,604
apachecn,ailearning,41329,2017-02-25T08:53:02Z,2025-08-29T12:52:33Z,Python,2,3,112,0.97,478
apache,dubbo,41264,2012-06-19T07:56:02Z,2025-08-29T09:20:08Z,Java,111,800,6476,0.89,5787
bevyengine,bevy,41257,2020-01-18T21:13:55Z,2025-08-29T11:31:18Z,Rust,43,2384,4848,0.67,6239
bailicangdu,vue2-elm,41153,2016-12-23T01:49:20Z,2025-08-28T09:36:36Z,Vue,0,118,512,0.81,21
AykutSarac,jsoncrack.com,41148,2022-01-30T15:25:18Z,2025-08-29T12:01:52Z,TypeScript,22,35,234,0.87,85
streamlit,streamlit,41138,2019-08-24T00:14:52Z,2025-08-29T13:35:06Z,Python,106,1107,4324,0.80,5696
hpcaitech,ColossalAI,41119,2021-10-28T16:19:44Z,2025-08-29T06:41:29Z,Python,50,429,1298,0.75,3700
zai-org,ChatGLM-6B,41108,2023-03-13T12:00:18Z,2025-08-29T09:29:14Z,Python,0,558,751,0.57,48
KRTirtho,spotube,41073,2021-02-14T03:17:58Z,2025-08-29T12:11:05Z,Dart,40,783,1082,0.58,246
dcloudio,uni-app,41071,2018-07-12T08:52:39Z,2025-08-29T09:54:05Z,JavaScript,0,689,4239,0.86,468
nwjs,nw.js,41062,2012-01-04T06:21:10Z,2025-08-29T06:33:08Z,JavaScript,0,922,6477,0.88,575
docker,awesome-compose,41036,2020-02-13T08:51:42Z,2025-08-29T14:03:49Z,HTML,0,89,40,0.31,149
styled-components,styled-components,40891,2016-08-16T06:41:32Z,2025-08-29T12:47:52Z,TypeScript,176,302,2651,0.90,966
psf,black,40869,2018-03-14T19:54:45Z,2025-08-29T14:02:16Z,Python,46,329,2395,0.88,1585
ziglang,zig,40765,2015-08-06T00:51:28Z,2025-08-29T13:54:57Z,Zig,20,3444,9728,0.74,9215
vuetifyjs,vuetify,40706,2016-09-12T00:39:35Z,2025-08-29T14:04:54Z,TypeScript,606,502,14420,0.97,4411
hexojs,hexo,40693,2012-09-23T15:17:08Z,2025-08-29T11:10:55Z,TypeScript,114,73,3912,0.98,945
zhongyang219,TrafficMonitor,40686,2017-07-30T02:51:17Z,2025-08-29T12:28:01Z,C++,26,1175,714,0.38,63
SimplifyJobs,Summer2026-Internships,40553,2020-05-23T20:53:18Z,2025-08-29T14:15:39Z,Unknown,0,2,3934,1.00,1673
cli,cli,40465,2019-10-03T15:24:53Z,2025-08-29T13:07:09Z,Go,175,837,4318,0.84,2609
fastlane,fastlane,40450,2014-12-02T17:00:38Z,2025-08-29T13:42:33Z,Ruby,552,687,12501,0.95,6234
bannedbook,fanqiang,40345,2015-01-14T00:34:25Z,2025-08-29T13:08:12Z,Kotlin,3,329,467,0.59,3
mitmproxy,mitmproxy,40314,2010-02-16T04:10:13Z,2025-08-29T13:16:03Z,Python,77,335,3228,0.91,2651
dylanaraps,pure-bash-bible,40043,2018-06-13T01:39:33Z,2025-08-29T07:44:37Z,Shell,0,44,33,0.43,28
penpot,penpot,40019,2015-12-29T22:09:07Z,2025-08-29T14:17:13Z,Clojure,60,490,1433,0.75,4564
chubin,cheat.sh,40015,2017-05-07T21:40:56Z,2025-08-29T14:14:37Z,Python,0,125,133,0.52,129
tabler,tabler,39984,2018-02-01T09:08:59Z,2025-08-29T11:26:51Z,HTML,51,87,1004,0.92,725
LC044,WeChatMsg,39936,2023-01-11T05:03:49Z,2025-08-29T12:10:52Z,Unknown,0,0,0,0.00,62
deepspeedai,DeepSpeed,39900,2020-01-23T18:35:18Z,2025-08-29T13:58:03Z,Python,98,1099,2085,0.65,2752
microsoft,AI-For-Beginners,39852,2021-03-03T16:27:36Z,2025-08-29T12:11:17Z,Jupyter Notebook,0,25,108,0.81,196
colinhacks,zod,39758,2020-03-07T20:59:08Z,2025-08-29T13:50:18Z,TypeScript,185,184,2545,0.93,852
gradio-app,gradio,39672,2018-12-19T08:24:04Z,2025-08-29T14:19:59Z,Python,1000,419,5519,0.93,4766
helix-editor,helix,39669,2020-06-01T04:26:56Z,2025-08-29T14:19:57Z,Rust,30,848,4549,0.84,4258
virattt,ai-hedge-fund,39637,2024-11-29T16:30:01Z,2025-08-29T14:18:00Z,Python,0,22,199,0.90,33
bradtraversy,50projects50days,39636,2020-11-16T14:39:01Z,2025-08-29T11:57:39Z,CSS,0,0,0,0.00,44
lukasz-madon,awesome-remote-job,39617,2015-01-02T00:31:34Z,2025-08-29T13:24:15Z,Unknown,0,5,75,0.94,592
chakra-ui,chakra-ui,39607,2019-08-17T14:27:54Z,2025-08-29T14:00:04Z,TypeScript,1000,0,4154,1.00,2819
slidevjs,slidev,39577,2021-04-24T01:25:23Z,2025-08-29T14:01:57Z,TypeScript,394,145,1073,0.88,711
gedoor,legado,39572,2019-05-22T04:18:58Z,2025-08-29T13:45:12Z,Kotlin,115,35,2941,0.99,1134
harry0703,MoneyPrinterTurbo,39548,2024-03-11T02:57:34Z,2025-08-29T14:13:38Z,Python,9,180,393,0.69,136
ChrisTitusTech,winutil,39509,2022-04-28T02:25:19Z,2025-08-29T14:17:09Z,PowerShell,22,197,1710,0.90,847
google-research,bert,39469,2018-10-25T22:57:34Z,2025-08-29T12:11:22Z,Python,0,790,355,0.31,32
wg,wrk,39427,2012-03-20T11:12:28Z,2025-08-29T14:09:42Z,C,0,144,262,0.65,0
php,php-src,39406,2011-06-16T01:52:25Z,2025-08-29T13:51:20Z,C,25,835,3519,0.81,4287
QSCTech,zju-icicles,39404,2016-06-28T16:17:32Z,2025-08-29T11:07:05Z,HTML,0,9,69,0.88,224
sharkdp,fd,39385,2017-05-09T21:27:10Z,2025-08-29T13:00:04Z,Rust,41,130,788,0.86,653
upscayl,upscayl,39331,2022-07-30T17:19:20Z,2025-08-29T12:45:26Z,TypeScript,29,60,894,0.94,100
evanw,esbuild,39266,2016-06-14T16:08:50Z,2025-08-29T09:58:51Z,Go,301,514,3249,0.86,246
floodsung,Deep-Learning-Papers-Reading-Roadmap,39243,2016-10-14T11:49:48Z,2025-08-29T13:27:55Z,Python,0,52,5,0.09,28
byoungd,English-level-up-tips,39223,2017-05-30T07:18:52Z,2025-08-29T13:43:28Z,HTML,0,29,72,0.71,26
videojs,video.js,39072,2010-05-14T18:45:10Z,2025-08-29T12:47:51Z,JavaScript,332,578,4807,0.89,1801
lm-sys,FastChat,39043,2023-03-19T00:18:02Z,2025-08-29T12:36:38Z,Python,14,834,1066,0.56,849
jgm,pandoc,38984,2010-03-20T20:34:23Z,2025-08-29T14:16:18Z,Haskell,147,971,7023,0.88,1689
Dogfalo,materialize,38970,2014-09-12T19:35:38Z,2025-08-29T00:43:20Z,JavaScript,41,623,4599,0.88,449
pingcap,tidb,38954,2015-09-06T04:01:52Z,2025-08-29T10:32:08Z,Go,210,4065,17275,0.81,33151
mem0ai,mem0,38902,2023-06-20T08:58:36Z,2025-08-29T14:19:52Z,Python,265,357,750,0.68,1679
vim,vim,38852,2015-08-18T21:03:56Z,2025-08-29T12:39:34Z,Vim Script,0,1513,7435,0.83,440
go-gorm,gorm,38772,2013-10-25T08:31:38Z,2025-08-29T09:24:39Z,Go,6,457,5549,0.92,755
tmux,tmux,38718,2015-06-03T23:32:55Z,2025-08-29T13:09:41Z,C,37,57,3669,0.98,1
ray-project,ray,38700,2016-10-25T19:38:30Z,2025-08-29T11:58:53Z,Python,109,2718,18273,0.87,27300
remoteintech,remote-jobs,38699,2015-10-13T03:49:25Z,2025-08-29T12:22:47Z,JavaScript,0,20,170,0.89,1290
curl,curl,38677,2010-03-18T22:32:22Z,2025-08-29T14:01:38Z,C,91,5,5158,1.00,198
zhayujie,chatgpt-on-wechat,38663,2022-08-07T08:33:41Z,2025-08-29T13:31:58Z,Python,63,303,1699,0.85,261
aria2,aria2,38587,2010-11-27T09:41:48Z,2025-08-29T14:07:30Z,C++,24,1067,824,0.44,253
DIYgod,RSSHub,38510,2018-04-02T14:43:21Z,2025-08-29T13:38:25Z,TypeScript,0,360,5744,0.94,11093
google,styleguide,38468,2015-05-20T19:18:59Z,2025-08-29T12:48:24Z,HTML,0,116,239,0.67,194
saadeghi,daisyui,38458,2020-11-28T22:57:27Z,2025-08-29T09:32:23Z,Svelte,104,40,1934,0.98,430
makeplane,plane,38427,2022-11-19T12:55:01Z,2025-08-29T14:20:34Z,TypeScript,48,448,872,0.66,5634
suno-ai,bark,38424,2023-04-07T19:34:48Z,2025-08-29T13:48:36Z,Jupyter Notebook,0,231,239,0.51,19
QuivrHQ,quivr,38362,2023-05-12T23:53:30Z,2025-08-29T14:07:19Z,Python,354,2,1533,1.00,1819
trpc,trpc,38341,2020-07-18T01:17:11Z,2025-08-29T13:50:55Z,TypeScript,218,147,1139,0.89,3711
files-community,Files,38335,2019-01-04T18:19:14Z,2025-08-29T14:15:46Z,C#,123,501,10113,0.95,5346
phaserjs,phaser,38312,2013-04-12T12:27:51Z,2025-08-29T12:27:23Z,JavaScript,172,80,4474,0.98,1729
logseq,logseq,38302,2020-05-23T00:06:06Z,2025-08-29T14:08:21Z,Clojure,150,1213,6710,0.85,3067
photoprism,photoprism,38236,2018-01-27T12:00:15Z,2025-08-29T11:33:45Z,Go,78,425,1959,0.82,813
freefq,free,38113,2020-06-07T02:48:33Z,2025-08-29T14:18:35Z,Unknown,0,531,218,0.29,0
PhilJay,MPAndroidChart,38105,2014-04-25T14:29:47Z,2025-08-29T13:33:04Z,Java,44,2065,2899,0.58,191
impress,impress.js,38068,2011-12-28T22:23:19Z,2025-08-29T12:36:54Z,JavaScript,15,52,431,0.89,120
google,leveldb,38056,2014-08-27T21:17:52Z,2025-08-29T11:33:41Z,C++,21,240,537,0.69,64
koalaman,shellcheck,38001,2012-11-17T03:15:11Z,2025-08-29T07:33:49Z,Haskell,30,1132,1720,0.60,306
preactjs,preact,37918,2015-09-11T02:40:18Z,2025-08-29T07:43:55Z,JavaScript,231,55,1842,0.97,1926
ccxt,ccxt,37828,2017-05-14T15:41:56Z,2025-08-29T13:42:22Z,Python,174,823,10105,0.92,13392
appsmithorg,appsmith,37821,2020-06-30T04:07:36Z,2025-08-29T13:46:17Z,TypeScript,290,4347,19229,0.82,13949
calcom,cal.com,37795,2021-03-22T13:47:42Z,2025-08-29T14:18:33Z,TypeScript,516,1153,6987,0.86,10606
goabstract,Awesome-Design-Tools,37717,2019-02-12T13:55:30Z,2025-08-29T13:11:59Z,JavaScript,0,20,25,0.56,283
novuhq,novu,37674,2021-08-26T15:22:44Z,2025-08-29T11:28:48Z,TypeScript,54,223,1400,0.86,6043
2noise,ChatTTS,37673,2024-05-27T18:26:49Z,2025-08-29T10:00:04Z,Python,6,69,587,0.89,214
karanpratapsingh,system-design,37634,2022-08-15T18:59:54Z,2025-08-29T11:41:37Z,Unknown,0,1,21,0.95,11
gto76,python-cheatsheet,37616,2018-01-25T04:16:53Z,2025-08-29T05:23:18Z,Python,0,5,60,0.92,14
cloudcommunity,Free-Certifications,37580,2020-07-31T10:26:19Z,2025-08-29T14:16:11Z,Unknown,0,38,69,0.64,114
menloresearch,jan,37519,2023-08-17T02:17:10Z,2025-08-29T13:49:54Z,TypeScript,88,143,2739,0.95,2700
gofiber,fiber,37505,2020-01-16T03:59:20Z,2025-08-29T14:12:32Z,Go,128,77,1494,0.95,1821
FreeCodeCampChina,freecodecamp.cn,37474,2016-09-30T03:13:43Z,2025-08-29T13:32:14Z,CSS,0,141,445,0.76,55
LAION-AI,Open-Assistant,37462,2022-12-13T05:24:17Z,2025-08-29T11:10:13Z,Python,127,227,1418,0.86,1614
ant-design,ant-design-pro,37456,2017-08-25T10:40:44Z,2025-08-29T13:47:56Z,TypeScript,26,155,9601,0.98,1010
DataExpert-io,data-engineer-handbook,37341,2023-11-19T19:47:41Z,2025-08-29T13:48:39Z,Jupyter Notebook,0,13,64,0.83,171
fastapi,full-stack-fastapi-template,37274,2019-02-23T15:08:34Z,2025-08-29T14:02:02Z,TypeScript,10,166,264,0.61,411
openai,codex,37263,2025-04-13T05:37:54Z,2025-08-29T14:20:16Z,Rust,99,412,695,0.63,1015
lapce,lapce,37254,2018-02-06T08:41:06Z,2025-08-29T12:21:19Z,Rust,32,800,1177,0.60,1171
eugenp,tutorials,37246,2013-04-29T18:26:36Z,2025-08-29T07:15:40Z,Java,0,17,772,0.98,13383
freeCodeCamp,devdocs,37229,2013-10-24T18:16:07Z,2025-08-29T14:20:48Z,Ruby,0,192,1040,0.84,927
dockur,windows,37197,2024-01-14T13:09:40Z,2025-08-29T14:06:12Z,Shell,104,103,739,0.88,413
istio,istio,37197,2016-11-18T23:57:21Z,2025-08-29T13:51:20Z,Go,393,449,20724,0.98,28473
payloadcms,payload,37185,2021-01-05T18:49:45Z,2025-08-29T12:32:34Z,TypeScript,523,378,3384,0.90,5850
naptha,tesseract.js,37131,2015-06-24T02:49:52Z,2025-08-29T12:13:16Z,JavaScript,56,31,696,0.96,196
docling-project,docling,37078,2024-07-09T07:50:26Z,2025-08-29T14:16:12Z,Python,119,505,630,0.56,526
Aider-AI,aider,37049,2023-05-09T18:57:49Z,2025-08-29T14:00:54Z,Python,93,1010,2695,0.73,263
Kong,insomnia,37037,2016-04-23T03:54:26Z,2025-08-29T09:02:12Z,TypeScript,528,689,3197,0.82,3373
TencentARC,GFPGAN,37032,2021-03-19T06:18:20Z,2025-08-29T13:58:15Z,Python,8,366,134,0.27,14
dotnet,aspnetcore,37015,2014-03-11T06:09:42Z,2025-08-29T13:32:38Z,C#,258,3509,34144,0.91,17803
0voice,interview_internal_reference,36983,2019-06-10T06:54:19Z,2025-08-29T09:18:49Z,Python,0,30,19,0.39,35
denysdovhan,wtfjs,36978,2017-07-14T15:42:12Z,2025-08-29T13:25:28Z,JavaScript,25,22,95,0.81,125
google,googletest,36955,2015-07-28T15:07:53Z,2025-08-29T12:28:19Z,C++,11,345,1979,0.85,813
inkonchain,docs,36939,2024-05-07T16:49:36Z,2025-08-29T14:17:08Z,MDX,0,20,13,0.39,393
inkonchain,node,36903,2024-05-13T23:20:40Z,2025-08-29T14:13:35Z,Shell,6,11,13,0.54,35
siyuan-note,siyuan,36903,2020-08-30T09:21:35Z,2025-08-29T13:31:17Z,TypeScript,813,403,14568,0.97,489
NervJS,taro,36866,2018-04-08T09:32:26Z,2025-08-29T09:36:04Z,TypeScript,200,1535,11037,0.88,3400
milvus-io,milvus,36862,2019-09-16T06:43:43Z,2025-08-29T14:11:02Z,Go,130,614,13490,0.96,22843
facebookresearch,faiss,36838,2017-02-07T16:07:05Z,2025-08-29T14:13:40Z,C++,20,229,2446,0.91,137
inkonchain,ink-kit,36809,2024-11-04T16:32:17Z,2025-08-29T14:16:57Z,TypeScript,0,2,3,0.60,90
halo-dev,halo,36749,2018-03-21T12:56:52Z,2025-08-29T12:58:39Z,Java,226,301,4029,0.93,2617
exacity,deeplearningbook-chinese,36699,2016-12-07T11:46:51Z,2025-08-29T11:54:52Z,TeX,7,64,139,0.68,16
huihut,interview,36693,2018-02-09T09:49:48Z,2025-08-29T14:15:48Z,C++,0,1,65,0.98,36
vlang,v,36668,2019-02-08T02:57:06Z,2025-08-29T12:33:01Z,V,275,1084,8615,0.89,12286
alibaba,arthas,36661,2018-08-29T17:15:57Z,2025-08-29T09:20:16Z,Java,59,372,1722,0.82,540
AobingJava,JavaFamily,36607,2019-11-12T04:26:18Z,2025-08-29T14:15:37Z,Unknown,0,5,60,0.92,2
babysor,MockingBird,36582,2021-08-07T03:53:39Z,2025-08-29T10:24:48Z,Python,1,476,412,0.46,80
satwikkansal,wtfpython,36582,2017-08-28T20:22:19Z,2025-08-29T13:33:17Z,Python,2,66,157,0.70,113
usebruno,bruno,36488,2022-09-27T20:51:45Z,2025-08-29T14:21:11Z,JavaScript,141,1213,1860,0.61,1282
zbezj,HEU_KMS_Activator,36482,2019-06-23T00:49:35Z,2025-08-29T14:15:34Z,Unknown,48,155,28,0.15,0
httpie,cli,36465,2012-02-25T12:39:13Z,2025-08-29T06:06:46Z,Python,47,180,722,0.80,406
openai,gym,36423,2016-04-27T14:59:16Z,2025-08-29T13:38:17Z,Python,19,112,1726,0.94,998
chatboxai,chatbox,36407,2023-03-06T12:22:15Z,2025-08-29T12:03:46Z,TypeScript,47,836,1453,0.63,71
NanmiCoder,MediaCrawler,36394,2023-06-09T12:14:34Z,2025-08-29T13:54:53Z,Python,0,100,393,0.80,101
ToolJet,ToolJet,36378,2021-03-30T08:51:34Z,2025-08-29T13:46:19Z,JavaScript,322,632,4373,0.87,6695
hiroi-sora,Umi-OCR,36350,2022-03-28T04:01:46Z,2025-08-29T14:14:10Z,Python,31,272,512,0.65,56
google-research,google-research,36257,2018-10-04T18:42:48Z,2025-08-29T10:47:31Z,Jupyter Notebook,0,1060,343,0.24,29
rapid7,metasploit-framework,36239,2011-08-30T06:13:20Z,2025-08-29T06:59:35Z,Ruby,0,437,5844,0.93,11352
nushell,nushell,36238,2019-05-10T16:59:42Z,2025-08-29T10:06:31Z,Rust,111,1440,5215,0.78,7919
crewAIInc,crewAI,36225,2023-10-27T03:26:59Z,2025-08-29T13:53:09Z,Python,100,52,1445,0.97,950
open-guides,og-aws,36222,2016-07-13T17:30:16Z,2025-08-29T12:48:04Z,Shell,0,140,87,0.38,498
opentofu,manifesto,36079,2023-08-13T16:17:24Z,2025-08-29T11:40:40Z,HTML,0,12,14,0.54,765
date-fns,date-fns,36072,2014-10-06T10:24:22Z,2025-08-29T13:49:52Z,TypeScript,122,631,1367,0.68,1068
docker,compose,36061,2013-12-09T11:40:58Z,2025-08-29T12:34:46Z,Go,263,70,8050,0.99,3554
shadowsocks,shadowsocks-android,36054,2012-12-16T13:40:29Z,2025-08-29T14:12:23Z,Kotlin,185,48,2457,0.98,256
lerna,lerna,36014,2015-12-04T09:36:55Z,2025-08-29T11:41:34Z,TypeScript,244,400,2277,0.85,997
chatchat-space,Langchain-Chatchat,35973,2023-03-31T12:12:45Z,2025-08-29T09:54:19Z,TypeScript,31,103,4085,0.98,615
XingangPan,DragGAN,35907,2023-05-18T10:08:02Z,2025-08-28T17:42:17Z,Python,0,145,46,0.24,18
imputnet,cobalt,35908,2022-07-08T18:12:55Z,2025-08-29T14:15:54Z,Svelte,0,164,777,0.83,243
SheetJS,sheetjs,35878,2012-12-03T19:25:52Z,2025-08-29T09:11:32Z,Unknown,0,119,2267,0.95,106
formulahendry,955.WLB,35863,2019-03-27T23:53:37Z,2025-08-29T13:53:26Z,Unknown,0,181,82,0.31,18
HeyPuter,puter,35844,2024-03-03T01:44:32Z,2025-08-29T13:48:30Z,JavaScript,8,167,531,0.76,601
zen-browser,desktop,35774,2024-03-28T00:05:55Z,2025-08-29T14:17:58Z,C++,118,413,6598,0.94,494
geekxh,hello-algorithm,35752,2020-05-29T05:47:09Z,2025-08-29T00:58:55Z,Java,0,11,33,0.75,26
typeorm,typeorm,35729,2016-02-29T07:41:14Z,2025-08-29T13:50:07Z,TypeScript,38,2348,6060,0.72,2178
carbon-app,carbon,35657,2017-06-16T02:50:28Z,2025-08-29T09:53:00Z,JavaScript,215,60,627,0.91,668
koajs,koa,35609,2013-07-20T18:53:45Z,2025-08-29T12:24:39Z,JavaScript,9,17,909,0.98,522
microsoft,ai-agents-for-beginners,35597,2024-11-28T10:42:52Z,2025-08-29T13:43:51Z,Jupyter Notebook,0,9,58,0.87,157
hankcs,HanLP,35556,2014-10-09T06:36:16Z,2025-08-29T12:11:24Z,Python,62,8,1421,0.99,79
kilimchoi,engineering-blogs,35530,2015-06-13T18:25:17Z,2025-08-29T14:21:10Z,Ruby,0,23,74,0.76,681
PKUanonym,REKCARC-TSC-UHT,35465,2019-04-05T03:31:23Z,2025-08-29T14:05:20Z,HTML,0,2,30,0.94,171
alvarotrigo,fullPage.js,35464,2013-09-20T11:58:29Z,2025-08-27T16:45:32Z,JavaScript,105,132,3999,0.97,320
airbnb,lottie-android,35461,2016-10-06T22:42:42Z,2025-08-29T00:13:08Z,Java,59,34,1745,0.98,713
mindsdb,mindsdb,35456,2018-08-02T17:56:45Z,2025-08-29T12:07:40Z,Python,312,43,4265,0.99,5379
markedjs,marked,35431,2011-07-24T13:15:51Z,2025-08-29T13:10:46Z,TypeScript,157,12,1593,0.99,1557
jondot,awesome-react-native,35339,2015-03-26T19:58:06Z,2025-08-29T09:07:13Z,JavaScript,0,38,35,0.48,912
spacedriveapp,spacedrive,35314,2021-09-27T05:09:04Z,2025-08-29T12:48:11Z,TypeScript,26,119,388,0.77,1881
nativefier,nativefier,35289,2015-07-05T05:56:42Z,2025-08-28T09:38:04Z,TypeScript,99,255,982,0.79,261
junegunn,vim-plug,35182,2013-09-10T14:58:51Z,2025-08-29T13:49:54Z,Vim Script,8,71,966,0.93,177
twentyhq,twenty,35171,2022-12-01T13:04:40Z,2025-08-29T13:35:54Z,TypeScript,46,211,5036,0.96,7263
sqlmapproject,sqlmap,35149,2012-06-26T09:52:15Z,2025-08-29T12:28:40Z,Python,10,49,5300,0.99,173
huggingface,pytorch-image-models,35136,2019-02-02T05:51:12Z,2025-08-29T14:16:52Z,Python,69,51,947,0.95,479
pola-rs,polars,35114,2020-05-13T19:45:33Z,2025-08-29T14:15:22Z,Rust,227,2577,8766,0.77,11534
alebcay,awesome-shell,35084,2014-07-07T01:57:42Z,2025-08-29T13:47:20Z,Unknown,0,39,23,0.37,307
sahat,hackathon-starter,35054,2013-11-13T17:24:12Z,2025-08-28T13:44:23Z,JavaScript,17,10,671,0.99,357
unknwon,the-way-to-go_ZH_CN,35019,2013-03-24T17:18:38Z,2025-08-29T09:43:33Z,Go,0,0,0,0.00,592
bumptech,glide,34948,2013-07-08T22:52:33Z,2025-08-29T08:46:38Z,Java,47,565,3920,0.87,578
mudler,LocalAI,34918,2023-03-18T22:58:02Z,2025-08-29T13:18:00Z,Go,83,360,727,0.67,3956
TeamNewPipe,NewPipe,34918,2015-09-03T23:39:26Z,2025-08-29T13:48:52Z,Java,137,1225,8414,0.87,1664
yeongpin,cursor-free-vip,34896,2025-01-11T08:14:22Z,2025-08-29T14:15:56Z,Python,69,562,473,0.46,74
fengdu78,Coursera-ML-AndrewNg-Notes,34872,2017-11-04T10:04:08Z,2025-08-29T13:56:05Z,HTML,0,53,15,0.22,14
ghostty-org,ghostty,34852,2022-03-29T17:38:26Z,2025-08-29T14:11:06Z,Zig,1,161,1643,0.91,2653
doocs,leetcode,34852,2018-09-16T14:03:03Z,2025-08-29T13:13:19Z,Java,21,0,56,1.00,4108
reworkd,AgentGPT,34826,2023-04-07T02:29:19Z,2025-08-29T10:02:12Z,TypeScript,12,130,337,0.72,539
outline,outline,34811,2016-05-22T21:31:47Z,2025-08-29T13:33:52Z,TypeScript,147,92,3417,0.97,3360
charmbracelet,bubbletea,34778,2020-01-10T21:04:03Z,2025-08-29T13:30:34Z,Go,62,76,295,0.80,629
sorrycc,awesome-javascript,34523,2014-07-01T15:59:02Z,2025-08-29T09:07:42Z,Unknown,0,5,88,0.95,393
BVLC,caffe,34512,2013-09-12T18:39:48Z,2025-08-29T08:11:23Z,C++,14,899,3902,0.81,1087
roboflow,supervision,34458,2022-11-28T14:08:44Z,2025-08-29T14:15:33Z,Python,33,74,415,0.85,967
