Owner,Repository,Stars,Created At,Last Updated,Primary Language,Releases,Open Issues,Closed Issues,Closed Issues Ratio,Merged Pull Requests
spring-projects,spring-boot,78255,2012-10-19T15:02:57Z,2025-08-29T13:02:53Z,Java,320,563,38760,0.99,42
doocs,advanced-java,78171,2018-10-06T11:38:30Z,2025-08-29T10:15:39Z,Java,1,1,146,0.99,88
bregman-arie,devops-exercises,78074,2019-10-03T17:31:21Z,2025-08-29T13:12:14Z,Python,0,35,64,0.65,302
tensorflow,models,77625,2016-02-05T01:15:20Z,2025-08-29T12:23:47Z,Python,50,1077,6236,0.85,2341
MunGell,awesome-for-beginners,77057,2015-10-24T19:53:36Z,2025-08-29T13:20:06Z,Unknown,0,13,174,0.93,453
microsoft,ML-For-Beginners,76949,2021-03-03T01:34:05Z,2025-08-29T12:44:10Z,HTML,0,5,142,0.97,377
DopplerHQ,awesome-interview-questions,76774,2015-11-28T09:48:17Z,2025-08-29T12:48:08Z,Unknown,0,27,34,0.56,175
nomic-ai,gpt4all,76572,2023-03-27T18:49:32Z,2025-08-29T13:22:43Z,C++,38,700,1488,0.68,934
microsoft,playwright,76510,2019-11-15T18:32:42Z,2025-08-29T14:00:06Z,TypeScript,151,856,15500,0.95,15106
MisterBooo,LeetCodeAnimation,76416,2018-12-06T08:01:22Z,2025-08-29T12:03:39Z,Java,0,20,42,0.68,63
fighting41love,funNLP,75728,2018-08-21T11:20:39Z,2025-08-29T13:39:58Z,Python,0,34,47,0.58,14
netdata,netdata,75680,2013-06-17T18:39:10Z,2025-08-29T11:51:39Z,C,121,168,7951,0.98,10955
syncthing,syncthing,75672,2013-11-26T09:48:21Z,2025-08-29T13:57:31Z,Go,440,330,5375,0.94,2768
FortAwesome,Font-Awesome,75599,2012-02-17T14:19:43Z,2025-08-29T12:29:10Z,JavaScript,60,3756,16006,0.81,212
anuraghazra,github-readme-stats,75596,2020-07-09T10:34:22Z,2025-08-29T13:52:21Z,JavaScript,0,194,1113,0.85,1318
ByteByteGoHq,system-design-101,75581,2023-09-18T20:52:03Z,2025-08-29T14:11:01Z,Unknown,0,37,17,0.31,23
vitejs,vite,74978,2020-04-21T05:03:57Z,2025-08-29T13:08:15Z,TypeScript,598,464,7628,0.94,5596
unionlabs,union,74895,2023-05-16T22:33:39Z,2025-08-29T12:46:08Z,Rust,95,233,1590,0.87,2781
typicode,json-server,74842,2013-11-27T13:21:13Z,2025-08-29T12:26:08Z,JavaScript,38,620,549,0.47,121
immich-app,immich,74626,2022-02-03T15:56:27Z,2025-08-29T13:58:15Z,TypeScript,263,568,5818,0.91,7213
ruanyf,weekly,74527,2018-10-13T12:36:07Z,2025-08-29T12:55:22Z,Unknown,0,6073,1089,0.15,101
louislam,uptime-kuma,74372,2021-07-03T01:02:42Z,2025-08-29T13:59:00Z,JavaScript,111,705,3467,0.83,1321
hoppscotch,hoppscotch,73746,2019-08-21T13:15:24Z,2025-08-29T13:22:21Z,TypeScript,84,486,1565,0.76,1881
elastic,elasticsearch,73665,2010-02-08T13:20:56Z,2025-08-29T14:12:40Z,Java,206,4312,36410,0.89,80884
coder,code-server,73625,2019-02-27T16:50:41Z,2025-08-29T14:02:54Z,TypeScript,201,136,3569,0.96,1578
junegunn,fzf,73311,2013-10-23T16:04:23Z,2025-08-29T13:47:20Z,Go,70,236,2783,0.92,595
vuejs,awesome-vue,73208,2015-10-20T00:16:14Z,2025-08-29T09:58:28Z,Unknown,0,38,190,0.83,3574
sdmg15,Best-websites-a-programmer-should-visit,73191,2017-03-05T20:25:17Z,2025-08-29T13:51:38Z,Unknown,0,71,103,0.59,431
hacksider,Deep-Live-Cam,72810,2023-09-24T13:19:31Z,2025-08-29T13:12:18Z,Python,8,66,925,0.93,85
google-gemini,gemini-cli,72622,2025-04-17T17:04:31Z,2025-08-29T14:05:43Z,TypeScript,53,1417,2494,0.64,2064
nestjs,nest,72465,2017-02-04T20:12:52Z,2025-08-29T14:08:17Z,TypeScript,131,28,5645,1.00,7433
microsoft,markitdown,72457,2024-11-13T19:56:40Z,2025-08-29T14:13:19Z,Python,15,252,72,0.22,161
clash-verge-rev,clash-verge-rev,72420,2023-11-21T18:24:03Z,2025-08-29T14:14:46Z,TypeScript,50,143,3709,0.96,326
d2l-ai,d2l-zh,71973,2017-08-23T04:40:24Z,2025-08-29T13:19:14Z,Python,16,0,0,0.00,1019
CompVis,stable-diffusion,71383,2022-08-10T14:36:44Z,2025-08-29T09:48:56Z,Jupyter Notebook,0,532,195,0.27,5
thedaviddias,Front-End-Checklist,71068,2017-10-16T10:12:36Z,2025-08-29T11:51:27Z,Unknown,1,1,147,0.99,179
abi,screenshot-to-code,70812,2023-11-14T17:53:32Z,2025-08-29T13:12:41Z,Python,0,104,278,0.73,49
redis,redis,70662,2009-03-21T22:32:25Z,2025-08-29T13:16:31Z,C,96,2158,4631,0.68,4169
moby,moby,70563,2013-01-18T18:10:57Z,2025-08-29T13:45:38Z,Go,237,3204,19932,0.86,21527
pallets,flask,70242,2010-04-06T11:11:59Z,2025-08-29T14:00:57Z,Python,37,1,2691,1.00,1613
ventoy,Ventoy,70231,2020-03-10T15:19:19Z,2025-08-29T14:12:49Z,C,105,865,1672,0.66,280
grafana,grafana,69658,2013-12-11T15:59:56Z,2025-08-29T14:03:42Z,TypeScript,550,3473,37570,0.92,56974
Developer-Y,cs-video-courses,69655,2016-10-21T17:02:11Z,2025-08-29T13:04:35Z,Unknown,0,0,0,0.00,234
enaqx,awesome-react,69606,2014-08-06T05:31:44Z,2025-08-29T12:46:56Z,Unknown,0,4,109,0.96,780
swisskyrepo,PayloadsAllTheThings,69538,2016-10-18T07:29:07Z,2025-08-29T14:06:46Z,Python,5,0,0,0.00,548
josephmisiti,awesome-machine-learning,69486,2014-07-15T19:11:19Z,2025-08-29T13:47:48Z,Python,0,0,93,1.00,872
hakimel,reveal.js,69477,2011-06-07T18:54:22Z,2025-08-29T12:28:29Z,JavaScript,49,774,1690,0.69,410
strapi,strapi,69339,2015-09-30T15:34:48Z,2025-08-29T14:05:12Z,TypeScript,479,976,10238,0.91,9143
binary-husky,gpt_academic,69167,2023-03-20T09:05:13Z,2025-08-29T12:56:47Z,Python,32,263,1478,0.85,224
tesseract-ocr,tesseract,69136,2014-08-12T18:04:59Z,2025-08-29T14:10:25Z,C++,34,424,2303,0.84,1411
swiftlang,swift,69002,2015-10-23T21:15:07Z,2025-08-29T13:59:46Z,C++,60,7355,9447,0.56,55546
protocolbuffers,protobuf,68918,2014-08-26T15:52:15Z,2025-08-29T13:03:12Z,C++,195,239,6412,0.96,7822
